Supplier Name,Total
Engage Lambeth Limited,"1,683,246.48"
Apollo Property Services Group Ld,"1,513,917.47"
Morrison Facilities Services Ltd,"1,412,148.99"
Matrix SCM Ltd,"1,407,602.19"
Mears Limited,"1,211,617.48"
Capita Business Services Ltd,"1,149,137.64"
Loughborough Emb Ltd,"660,107.25"
Thames Reach Bondway,"478,830.08"
Carillion Capital Projects Ltd,"425,815.71"
Denhan International,"394,330.64"
Mulalley & Co Ltd,"384,000.00"
Oco Ltd,"382,282.48"
Southside Partnership,"374,468.92"
St Mungo Association,"330,459.76"
Roupell Park Residents Mgt Coop Ltd,"315,314.75"
Harrison Catering Services Ltd,"288,914.23"
Corona Gas,"288,365.44"
Quinn London Limited,"280,330.00"
Blakedown Landscapes (SE) Ltd,"274,172.00"
Midos Estates Ltd,"252,279.37"
Windmill Care Centre,"250,187.81"
Limetree Healthcare Ltd,"244,603.11"
Breyer Group Plc,"240,674.40"
Broadway,"233,194.02"
EPS Maintenance,"224,961.73"
Interserve Technical Services Ltd,"220,687.25"
Lengard Ltd,"216,000.00"
RM Education plc,"215,691.00"
Frosts Landscape Construction ltd,"214,746.30"
Tesco Stores Ltd,"209,059.00"
T Brown Group Ltd,"206,438.19"
Queens Oak Care Centre,"203,348.98"
Veolia ES (UK) Ltd,"194,685.33"
Cowley EMB Ltd,"193,710.00"
Prime Estates Property Management,"188,662.50"
United Residents Housing,"176,627.09"
Thorlands Emb,"173,309.75"
One Step At A Time,"171,273.33"
Blenheim Gardens Tmo,"170,011.04"
Age Concern,"162,500.00"
ISS Eaton,"161,787.16"
Single Homeless Project,"161,009.12"
British Gas Business,"153,650.52"
Lambeth Lighting Services,"145,424.10"
D Singh Properties Ltd TA DS Properties,"144,929.72"
Cetra Housing Co-Operative Ltd,"134,041.25"
Waltham Estate Resident Management Organisation,"130,959.26"
Look Ahead Housing & Care Ltd,"127,830.00"
Hunter & Partners,"125,778.02"
Keratome Ltd,"123,213.85"
Cmg Homes Ltd,"122,079.60"
Norbury Property Services (London) Ltd,"119,834.81"
Lancedrum Ltd,"119,289.04"
Lambeth Mencap,"119,111.91"
Pacca TMO Ltd,"116,312.00"
Linbrook Services Ltd,"113,646.54"
Allied Healthcare (Uk) Ltd,"111,509.54"
Kingsdale Nursing Home,"110,786.08"
Diamond Build Plc,"106,539.09"
Cottington Close Tmc,"104,320.00"
Sense,"104,080.86"
Klearwater Supported Homes Ltd,"98,173.25"
Centrepoint Soho Ltd,"97,670.88"
Anthony Gold Lerman & Muirhead,"95,355.46"
Sanctuary Care Ltd,"90,857.95"
Cranfield Investments Ltd,"89,098.40"
Metropolitan Support Trust,"87,881.52"
South London YMCA,"87,293.12"
Supported Fostering Services,"85,063.42"
Solor Care Group Ltd,"85,024.74"
Centre 70 Community Association,"84,288.00"
F S Properties,"80,963.37"
Metra Housing Co-Op,"78,106.75"
Curocare Ltd,"76,564.58"
Northgate Information Solutions Uk Ltd,"74,402.25"
St Michaels Fellowship,"73,139.25"
Sprunt Ltd,"71,978.56"
Solace Women's Aid,"70,843.74"
NSL Limited,"69,979.81"
Holland Rise And Whitebeam Close Tmo,"66,660.00"
Richmond Management (Northern) Ltd,"66,250.00"
Riverside ECHG,"64,153.04"
Lambert Smith Hampton,"64,118.01"
Blackford Education (Exmoor) Ltd t/a Libra,"64,040.00"
GA Harpers,"61,611.94"
Four Seasons Health Care Ltd,"61,350.61"
St Christophers Fellowship,"61,074.73"
Wellington Mills Housing Tmc,"60,596.25"
BHHI,"58,353.56"
Steeles (Law) LLP,"55,603.92"
Mace Ltd,"54,590.00"
South Thames Crossroads,"54,085.00"
Nacro,"52,998.20"
