Supplier Name,Sum of Invoice Nett Amount
Sicor International,500.6
Tomorrow's People Trust Ltd,510
Ultra Electronics Limited (Command & Control Systems),510
Chandlers Ltd,517
AWICS,520
Creative Environmental Networks,523.55
Merrill Legal Solutions,524
AudioGo Ltd,529.22
Kendall Cars,529.52
Office Depot UK Ltd,534
The Lifecare Centre,534
BIFFA Waste Servicess Ltd,536.64
Adoption Uk,536.75
Bookseller Media Ltd,537
Guiness Trust Estate,537.8
Cohen Cramer Solicitors,540
Grace Eyre Foundation,542.12
Equanet Ltd,550
Headway,550.08
E Williams and Co Ltd,555
Youth Empowerment solutions Ltd,555
L K Recruitment Ltd,560.15
Camberwell Cars Ltd,560.9
Masters Legal Costs Services,561.15
Reliance Secure Task Management Ltd,564.77
Total Hygiene Ltd,566
Streetmaster Products,573
Funeralcare,585
CF Asset Finance Limited,586.57
Transition Town Brixton,591
Edmund & Sons,593
Front Yard Company Limited,595.53
SGS United Kingdom Ltd,595.6
The History Press,597.61
Fostering & Adoptions,600
NCC Services Ltd,600
Greyhound Cars,615.3
Wind Workshop,617.28
British Board of Agrement,620
A & R Associates,620
UK Youth Parliament,625
GLS Educational Supplies Ltd,625.3
Anglia DNA services Limited,629
Joanna Clinton,630
LOCN,636
Dunelm Grove Pre-School,649.17
Lilford Day Care Centre,649.17
St Michaels Pre-School,649.17
Norman Mark Training,650
Personal Safety Associates,650
Town & Country Memorials Limited,653.49
E.On Energy,657.02
Port Regis,661.31
The Kindergartens Ltd,676.5
Orange Personal Communications Services Ltd,690
Freedom 2 Surf,697.32
StayAhead Training Ltd,700
The Dogs Home Battersea,700
TechReady,703.74
Wolters Kluwer UK Ltd,711.55
Prada-Willi Association (UK),715
Croydon College,725
Mr Delva Chambers,737.36
Thebigword,740.66
Jardine Lloyd Thompson UK Ltd,750
Aquajoy Bathlifts Ltd,755
Ray Linge Market Stalls,755
Royal National Theatre,762.3
Collinstown Construction Ltd,765
In-Trac Training & Consultancy Ltd,766.9
JW Solutions,770
SOLO(ACCOM) Ltd,775
Mace Montessori Schools Ltd,779
Windmill Playgroup,779
Dulwich College,785.06
Pabulum,792.15
Closer To Limited,800
National Maritime Museum,800
Architects Design Partnership LLP,800
Wyatt Carruthers Jebb Engineers,800
AA Signs,806
