No_,Easting,Northing,Postcode,Name,Address,Notes,
1,531514,179810,SE18TU,Chaplin Close Tenants  Association,Chaplin Close Back Door Veg Patch,Housing association,
2,531185,179665,SE17RH,Johanna Primary School,Johanna Primary School Vegetable Garden,School,
3,531176,179406,SE17HS,The Oasis Center,Westminister Bridge Road,Faith,
4,531201,179241,SE1 7PZ,Three Stags pub 67 Kennington Road,Rooftop bees and herbs as part of this Sustainable Restaurant Association pub,Food business,
5,530954,179203,SE17LD,Honey from Eden,199 Hercules Road,Food business,
6,530993,179138,SE1 7DE,Urban Herb Group ,1a Briant House,  Sidford Place,Estate
7,530590,179020,SE1 7LB,Garden Museum ,Food growing in planted borders,Charity,
8,531071,178909,SE116DS,Walnut Tree Walk Primary School ,Food and biodiversity garden,School,
9,530987,178728,SE116PY,Black Prince Trust community hub ,,Charity,
10,531606,178718,SE114NA,Jamyang Buddhist Centre courtyard garden and cafe,Food growing in courtyard at The Old Courhouse  43 Renfrew Road ,Faith,
11,531312,178655,SE114PH,Archbishop Sumner Primary,Food-growing educational space,School,
12,531312,178655,SE114PH,Friends of Archbishops Park ,Raised plots for designated class growing fruits and veg. Fruit trees.  Working,Park,
13,531103,178630,SE11 6UG,Ethelred Estate,,Lambeth Housing,
14,530686,178606,SE115JT,VGERTA Community Garden,New growing spaces under development,Lambeth Housing,
15,530706,178580,SE115QH,Arden House Community Growing Space,Wheat & Fruit Growing - VEGERTA  is Vauxhall Gardens Estate Residents and Tenants Assco,Lambeth Housing,
16,531637,178487,SE114HZ,Cottington Close Community Garden,Community garden on estate,Lambeth Housing,
17,530575,178384,SE115EL,Real World/Why World Wide,The Garden at The Spring - Vauxhall garden Community Centre,Charity,
18,530756,178382,SE115LG,Vauxhall Primary School Garden,,School,
19,530897,178358,SE115PW,Orsett Road Community Garden,Metropolital Housing Trust-led food growing project,Housing association,
20,530618,178313,SE115EX,Spring Gardens,Allotments,Allotments,
21,530650,178073,SE115HY,St Peters Garden Project,Church with bees and small garden,Faith,
22,531213,177907,SE115DA,Hornby House gardeners,Resident of Kennington Park estate who runs food growing  sessions with young children, Hyde Housing,Housing association
23,531361,177847,SE11 4AU,Kennington Park Keepers' Lodge Beekeeping project,Keepers Lodge food growing project,Park,
24,530876,177629,SW81NE,The Triangle Playground,,Private,
25,530264,177481,SW8 2TJ,Wyvil Primary School,,School,
26,530815,177398,SW81LH,The Sustaining Garden,47 Fentiman Road, shared garden,Private
27,530470,177319,SW8 1EJ,St. Stephen's School Garden,,School,
28,530875,177287,SW8 1AU,Bolney Meadows,,Housing association,
29,530905,177193,SW9 0JU,Plant-ing @ Latch House,NACRO Food growing project,Charity,
30,530243,177187,SW8 2HP,Herbert Morrison School Garden,,School,
31,531332,177110,SW96NE,Church Manor Community Garden Project,Church Manor Estate,Housing association,
32,530909,177103,SW90EG,Holland Rise House and Whitebeam Close TMO, ,Lambeth Housing,
33,531695,177091,SW96XN,St John the Divine School,Established food growing projects,School,
34,530994,177078,SW90EN,Reay Primary School,Recently funded by Capital Growth,School,
35,531153,176997,SW90HB,Caldwell Gardens,Food growing in containters,Lambeth Housing,
36,531214,176960,SW96LZ,Cowley Food Farm,Cowley estate,Lambeth Housing,
37,530324,176900,SW8 2DF,Ekarro Housing Co-op ,,Housing association,
38,529808,176884,SW82JY,Lambeth College,Vauxhall Centre,School,
39,531430,176822,SW97RJ,Myatts Fields North 3D Community Garden,Bramah Green Community Centre,Lambeth Housing,
40,531763,176810,SE59RQ,Calais Gate & Coligny Court,Spectacular food growing and composting in community garden,Lambeth Housing,
41,531641,176659,SE59RF,Growing Stannard Hall-Mace Co-op,,Housing association,
42,530044,176604,sw82pd,Oasis Adventure Playground,Forest Garden,Charity,
43,531197,176554,SW96LW,Brixton Community Orchard,211-255 Brixton Road,Lambeth Housing,
44,531665,176548,SE59RA,Myatts Fields Park Greenhouses,Gardening courses and food growing for caf,Park,
45,530327,176534,SW46TD,Blooming Stockwell/Hyde Housing Squires Court,Stockwell,Housing association,
46,531025,176527,SW81BH,Lorn Road Allotments,Long-standing allotments,Allotments,
47,531096,176398,SW9 0DJ,Slade Gardens Permaculture Garden,TTB/BLIP,Park,
48,529576,176382,SW82RE,Spring Up,Springfield Community Flat (SCF),Charity,
49,531702,176284,SW97UA,Loughborough Primary School,,School,
50,532073,176241,SE59DA,York Close,Community Area York Close,Lambeth Housing,
51,531170,176229,SW96AE,Colours of Food Café/Baytree Centre,Papa's Park,Charity,
52,529083,176149,SW8 3EH,Heathbrook School,,School,
53,531813,176103,SE59DT,Grove Adventure Playground,Gordon Grove,Lambeth Housing,
54,528896,176054,SW83BN,Heathbrook Hall Garden, Heath Road Estate,,Lambeth Housing
55,530518,176047,SW9 9DE ,St Andrew's School Garden,,School,
56,529308,175998,SW40DZ,Eden @ St Paul's churchyard,,Faith,
57,530620,175960,SW9 9JW,Oak Square Residents' Association GaFGP,Notting Hill Housing Association,Housing association,
58,531769,175942,SW97UZ,Loughborough Green and Growing, Styles Gardens,Styles Gardens,Lambeth Housing
59,531703,175923,SW97LJ,Loughborough  Estate, Rupert Gardens,,Lambeth Housing
60,531380,175879,SW97NE,Angell Town Community Garden,49 Wiltshire Road - Geli,Lambeth Housing,
61,531044,175873,SW90UB,Stockwell Day Centre,Lambeth Social Services,Charity,
62,528763,175819,SW8 3JQ,Rooftop@The Roastery,,Food business,
63,531912,175780,SW9 8RU,Food for our brains ,  2nd Step nursery & Pre-School,,School
64,530235,175766,SW9 9RT,Landor Garden @ Landor Road,Family Mosaic, Atherfold & Hemberton  Resident / Tenant Association,Housing association
65,532720,175740,SE58EL,Ruskin Park Commnity Garden,,Park,
66,531152,175737,SW9 7DA,Angell Terrace,,Lambeth Housing,
67,531238,175730,SW97PL,Family Mosaic / Gresham Road Community Group,Recently funded by Capital Growth,Housing association,
68,531238,175730,SW9 7PL,The Courtyard Garden Group,Family Mosaic,Housing association,
69,530425,175851,SW99RX,Landor Road Edible Bus Stop, ,Transport,
70,529446,175606,SW4 0BZ,Clapham Manor Primary School,,School,
