Name,Address,Postcode,Notes,Easting,Northing
Brixton (Tate) Library,2 Brixton Oval,SW2 1JQ,020 7926 1056,531067,175255
Carnegie  Library,188 Herne Hill Road,SE24 0AG,020 7926 6050,532328,175252
Clapham Library,1 Clapham Common North Side,SW4 0QW,020 7926 0717,529136,175501
Durning Library,167 Kennington Lane,SE11 4HF,020 7926 8682,531310,178342
Minet / Lambeth Archives,52 Knatchbull Road,SE5 9QY,020 7926 6076,531686,176405
South Lambeth Library,180 South Lambeth Road,SW8 1QP,020 7926 0705,530374,177251
Streatham (Tate) Library,63 Streatham High Road,SW16 1PL,020 7926 5804,530149,171946
Upper Norwood Library,39-41 Westow Hill,SE19 1TQ,,533506,170749
Waterloo Library,114-118 Lower Marsh,SE1 7AE,020 7926 8690,531063,179690
West Norwood Library,1-5 Norwood High Street,SE27 9JX,020 7926 8092,531941,172173
